,id,month,year,document_type,headline,byline,page,pub_date,word_count
48,4fc03b9245c1498b0d1e86b7,1,1905,article,Concerning Agra and the Taj.,na,BR9,1905-01-07T00:00:00Z,289
49,4fc045fc45c1498b0d2162b0,1,1905,article,THE SEAT OF WAR.; Thomas Cowen's Book on the Russo-Japanese Conflict to the Battle of Liao Yang.,na,BR2,1905-01-07T00:00:00Z,1449
50,4fc0499e45c1498b0d226c43,1,1905,article,Review 3 -- No Title,na,BR1,1905-01-07T00:00:00Z,91
51,4fc0499e45c1498b0d226c4c,1,1905,article,"Eight ""Ghost"" Stories.",na,BR9,1905-01-07T00:00:00Z,178
52,4fc054ce45c1498b0d258b5f,1,1905,article,Review 1 -- No Title,na,BR1,1905-01-07T00:00:00Z,119
53,4fc03b9245c1498b0d1e86b8,1,1905,article,John Burroughs's New Book.,na,BR5,1905-01-07T00:00:00Z,277
54,4fc045fc45c1498b0d216298,1,1905,article,UTILITY OF ART.; M. Reinach's New History -- Latest Views of Gainsborough and Verrocchio.,na,BR13,1905-01-07T00:00:00Z,1614
55,4fc045fc45c1498b0d2162a0,1,1905,article,A Modern First Reader.,na,BR6,1905-01-07T00:00:00Z,192
56,4fc0471045c1498b0d21b1c9,1,1905,article,"""Murray's Small Classical Atlas.""",na,BR3,1905-01-07T00:00:00Z,166
57,4fc0499e45c1498b0d226c4b,1,1905,article,"Mabie's ""Parables of Life.""",na,BR13,1905-01-07T00:00:00Z,120
58,4fc054ce45c1498b0d258b66,1,1905,article,Legends of the Yosemite.,na,BR5,1905-01-07T00:00:00Z,128
59,4fc054ce45c1498b0d258b6f,1,1905,article,"The Philippines, 1493-1898.",na,BR10,1905-01-07T00:00:00Z,113
60,4fc0471045c1498b0d21b1c8,1,1905,article,"""The Boy's Own Book.""",W.P. STEPHENS,BR10,1905-01-07T00:00:00Z,165
61,4fc0499e45c1498b0d226c41,1,1905,article,American History.; THE UNITED STATES OF AMERICA.,"By Edwin Erie Sparks, Ph. D., of the University of Chicago. In two parts. New York: C.P. Putman's Sons",BR13,1905-01-07T00:00:00Z,757
62,4fc0532945c1498b0d250e59,1,1905,article,Caricature.; THE ART OF CARICATURE. By Grant Wright. Illustrated. 12mo. Pp. 180. New York: The Baker & Taylor Company. $1.,na,BR7,1905-01-07T00:00:00Z,385
63,4fc054ce45c1498b0d258b67,1,1905,article,"""Astronomical Discovery.""",na,BR9,1905-01-07T00:00:00Z,415
64,4fc045fc45c1498b0d21629f,1,1905,article,"FACTS ABOUT INDIA.; INDIA, By Col. Sir Thomas Hungerford Holdich. Late Superintendent Survey of India. With Maps and Diagrams. Cloth. Pp. 375. New York: D. Appleton & Co. $2.50.",na,BR2,1905-01-07T00:00:00Z,553
65,4fc0471045c1498b0d21b1c7,1,1905,article,"Some Further Discussion of the Novel Called ""The Eagle's Shadow.""",EMMETT H. BROUGH,BR10,1905-01-07T00:00:00Z,444
66,4fc0532945c1498b0d250e49,1,1905,article,Byron's Love Poems.,na,BR13,1905-01-07T00:00:00Z,115
67,4fc0532945c1498b0d250e58,1,1905,article,"""The Book of Symbols.""",na,BR15,1905-01-07T00:00:00Z,144
68,4fc045fc45c1498b0d21629e,1,1905,article,AUTHORS' LANDS.; Essays by William Sharp in Which Several Famous Writers Are Treated Geographically.*,na,BR6,1905-01-07T00:00:00Z,1768
69,4fc0471045c1498b0d21b1cf,1,1905,article,Violins.,na,BR9,1905-01-07T00:00:00Z,226
70,4fc0528045c1498b0d24e520,1,1905,article,"Storm's ""Immensee.""",na,BR9,1905-01-07T00:00:00Z,225
71,4fc0532945c1498b0d250e48,1,1905,article,"A BOOK ON POVERTY.; ROBERT HUNTER, THE CHARITY AND SOCIAL SETTLEMENT WORKER, DESCRIBES POVERTY AND ESTIMATES THE EXTENT OF IT IN THE UNITED STATES.*","Written for THE NEW YORK TIMES BOOK REVIEW by EDWIN MARKHAM. Author of ""The Man With the Hoe"" and Other Poems",BR1,1905-01-07T00:00:00Z,2074
72,4fc054ce45c1498b0d258b69,1,1905,article,William Wood.,na,BR8,1905-01-07T00:00:00Z,320
73,4fc0528045c1498b0d24e521,1,1905,article,"FRIEND OF POETS.; Joseph Jacobs Reviews the New Biography of Theodore Watts-Dunton, by James Douglas.*",J.J,BR4,1905-01-07T00:00:00Z,2665
74,4fc0471045c1498b0d21b1cd,1,1905,article,THACKERAY.; Gen. James Grant Wilson's Book About the Novelist's Two Visits to the United States.*,na,BR6,1905-01-07T00:00:00Z,1603
75,4fc0471045c1498b0d21b1d3,1,1905,article,Books in Demand.,na,BR7,1905-01-07T00:00:00Z,81
76,4fc0532945c1498b0d250e46,1,1905,article,Review 5 -- No Title,na,BR1,1905-01-07T00:00:00Z,184
77,4fc0532945c1498b0d250e55,1,1905,article,"""Captain Amyas.""",MRS. C.A. MARKHAM,BR10,1905-01-07T00:00:00Z,403
78,4fc047fa45c1498b0d21ffc0,1,1905,article,CURRENT COMMENT.; Views of Expert at Home and Abroad on Matters of Interest in the World of Books.,na,BR12,1905-01-07T00:00:00Z,4740
79,4fc0528045c1498b0d24e523,1,1905,article,January Book News.,na,BR7,1905-01-07T00:00:00Z,121
80,4fc0532945c1498b0d250e4e,1,1905,article,Our Geographical History.,na,BR9,1905-01-07T00:00:00Z,205
81,4fc0471045c1498b0d21b1cc,1,1905,article,The Boy and the Outlaw.,MACEY F. DEMING,BR10,1905-01-07T00:00:00Z,99
82,4fc0471045c1498b0d21b1d2,1,1905,article,Cooking By Trained Nurses.,na,BR11,1905-01-07T00:00:00Z,324
83,4fc045fc45c1498b0d21629b,1,1905,article,Costarican Stories.,na,BR3,1905-01-07T00:00:00Z,390
84,4fc045fc45c1498b0d2162b9,1,1905,article,"THE TARIFF.; A Book About Its Working In Germany, France and Our Own Country.*",na,BR7,1905-01-07T00:00:00Z,1189
85,4fc0471045c1498b0d21b1d1,1,1905,article,A Country Home and Garden.,na,BR6,1905-01-07T00:00:00Z,329
86,4fc0528045c1498b0d24e524,1,1905,article,LONDON NEWS.; Doings of English Authors and Publishers -- The Latest Announcements.,Special Cable to THE NEW YORK TIMES,BR9,1905-01-07T00:00:00Z,250
87,4fc047fa45c1498b0d21ffca,1,1905,article,TOPICS OF THE WEEK.,na,BR1,1905-01-07T00:00:00Z,206
88,4fc045fd45c1498b0d216343,1,1905,article,"""Uncle Tom's Cabin.""","HOUGHTON, MIFFLIN & CO",BR27,1905-01-14T00:00:00Z,299
89,4fc045fd45c1498b0d21634c,1,1905,article,"LITERATURE OF YOUTH.; PROF. ARTHUR TILLEY'S HISTORY OF THE BOOKS AND AUTHORS OF THE FRENCH RENAISSANCE -- RABELAIS, RONSARD, AND MONTAIGNE.*",Written for THE NEW YORK TIMES BOOK REVIEW by CHRISTIAN GAUSS,BR17,1905-01-14T00:00:00Z,2914
90,4fc045fd45c1498b0d21633e,1,1905,article,LONDON NEWS.; Doings of English Authors and Publishers -- The Latest Announcements.,Special Cable to THE NEW YORK TIMES,BR24,1905-01-14T00:00:00Z,273
91,4fc045fd45c1498b0d216344,1,1905,article,Review 6 -- No Title,M.L.B.W,BR26,1905-01-14T00:00:00Z,243
92,4fc045fd45c1498b0d21634d,1,1905,article,FETICHISM.; A Missionary's Book About the Native Customs and Superstitions of West Africa.*,na,BR21,1905-01-14T00:00:00Z,1035
93,4fc045fd45c1498b0d216362,1,1905,article,"The Accidental Umpire.; HELEN OF TROY, NEW YORK. By Wilfrid S. Jackson, Author of ""Nine Points of the Law."" 12mo. Pp. 307. New York: John Lane: The Bodley Head. $1.50.",na,BR23,1905-01-14T00:00:00Z,480
94,4fc0471145c1498b0d21b221,1,1905,article,Henry James as a Writer of Evasive Fiction Who Has Been the Cause of a School of Evasive Criticism.,EMMA CARLETON,BR26,1905-01-14T00:00:00Z,1123
95,4fc045fd45c1498b0d216345,1,1905,article,John Hancock.,HAMILTON OSGOOD,BR27,1905-01-14T00:00:00Z,212
96,4fc0471145c1498b0d21b213,1,1905,article,"""Uncle Remus"" and the Negroes.",na,BR27,1905-01-14T00:00:00Z,152
97,4fc047fa45c1498b0d220011,1,1905,article,Books That Sell Well.,na,BR27,1905-01-14T00:00:00Z,307
98,4fc047fa45c1498b0d22001a,1,1905,article,"A Murderess.; A DAUGHTER OF JAEL. By Alice Ridley. Author of ""The Story of Aline"" and ""Anne Mainwaring."" 12mo. Pp. 334. New York: Longmans, Green & Co. $1.50.",na,BR21,1905-01-14T00:00:00Z,529
99,4fc03b9245c1498b0d1e872b,1,1905,article,TOPICS OF THE WEEK.,na,BR17,1905-01-14T00:00:00Z,158
100,4fc03b9245c1498b0d1e873a,1,1905,article,Wordsworth's Poems.,na,BR24,1905-01-14T00:00:00Z,205
101,4fc045fd45c1498b0d21634f,1,1905,article,"BOSTON NOTES.; Novels of the Early Spring Season -- Reprints of Older Successful Books, &c.",STEPHENSON BROWNE,BR29,1905-01-14T00:00:00Z,702
102,4fc047fa45c1498b0d22001b,1,1905,article,Review 2 -- No Title,na,BR17,1905-01-14T00:00:00Z,217
103,4fc0528045c1498b0d24e546,1,1905,article,"ABOUT AUTHORS.; What Some of Them Are Saying, Writing, or Planning.",na,BR31,1905-01-14T00:00:00Z,742
104,4fc03b9245c1498b0d1e8723,1,1905,article,CHARTER OAK.; Mr. Gocher's History of Capt. Wadsworth's Achievement and the Plot of Sir Edmund Andros.*,na,BR32,1905-01-14T00:00:00Z,1627
105,4fc03b9245c1498b0d1e872c,1,1905,article,A New Magazine.,na,BR22,1905-01-14T00:00:00Z,99
106,4fc045fd45c1498b0d216347,1,1905,article,HERCULANEUM.; What May Result from the Unearthing of the Famous Roman Libraries in the Buried City.,L.W.C,BR22,1905-01-14T00:00:00Z,846
107,4fc047fa45c1498b0d220013,1,1905,article,Thomas Dixon on His New Book.,na,BR29,1905-01-14T00:00:00Z,248
108,4fc0471145c1498b0d21b21f,1,1905,article,Review 5 -- No Title,na,BR17,1905-01-14T00:00:00Z,79
109,4fc047fa45c1498b0d220014,1,1905,article,"""DON QUIXOTE.""; An Account of the Various Editions of the Master Work of Cervantes.",ROBERT F. RODEN,BR22,1905-01-14T00:00:00Z,1460
110,4fc047fa45c1498b0d22001d,1,1905,article,Shakespearean Tragedy.,na,BR24,1905-01-14T00:00:00Z,291
111,4fc03b9245c1498b0d1e872d,1,1905,article,Ellen Thorneycroft Fowler.,na,BR23,1905-01-14T00:00:00Z,93
112,4fc045fd45c1498b0d216357,1,1905,article,A Medical Directory.,na,BR21,1905-01-14T00:00:00Z,118
113,4fc03b9245c1498b0d1e8725,1,1905,article,Marriott Watson's New Book.,na,BR23,1905-01-14T00:00:00Z,75
114,4fc03b9245c1498b0d1e872e,1,1905,article,CURRENT COMMENT.; Views of Experts at Home and Abroad on Matters of Interest in the World of Books.,na,BR28,1905-01-14T00:00:00Z,3473
115,4fc03b9245c1498b0d1e8734,1,1905,article,The Boy's Own Book.,HENRY W. GEORGE,BR26,1905-01-14T00:00:00Z,129
116,4fc045fd45c1498b0d216349,1,1905,article,"Our Eastern Islands.; THE PHILIPPINE ISLANDS. 1493-1898. Explorations of Early Navigators, &c. Translated from the Originals. Edited and annotated by Emma Helen Blair and James Alexander Robertson, with historical introduction and additional notes by Edward Gaylord Bourne. With maps, portraits, and other illustrations. Volumes XIX. and XX. Cloth. Vol. XIX. Pp. 319. Vol. XX. Pp. 306. Cleveland, Ohio: The Author. H. Clark Company. $4 per volume.",na,BR21,1905-01-14T00:00:00Z,554
117,4fc0471145c1498b0d21b217,1,1905,article,French Home Cooking.,na,BR32,1905-01-14T00:00:00Z,316
118,4fc047fa45c1498b0d220015,1,1905,article,THE DISRAELI NOVEL.,na,BR24,1905-01-14T00:00:00Z,495
119,4fc0499e45c1498b0d226ca7,1,1905,article,Review 7 -- No Title,JAMES CHITTICK,BR26,1905-01-14T00:00:00Z,239
120,4fc0532945c1498b0d250e89,1,1905,article,THE PUBLISHERS.; Plans of Some of Them -- Forthcoming New Books.,na,BR31,1905-01-14T00:00:00Z,1502
121,4fc0532945c1498b0d250e98,1,1905,article,Review 4 -- No Title,na,BR17,1905-01-14T00:00:00Z,108
122,4fc054cf45c1498b0d258bd9,1,1905,article,"The Lost ""Titus Andronicus.""",na,BR24,1905-01-14T00:00:00Z,230
123,4fc03b9245c1498b0d1e8735,1,1905,article,"THE ERIE CANAL.; THE GREAT AMERICAN CANALS. By Archer Butler Hulbert. With Maps and Illustrations. Vol. II. -- The Erie Canal. Cloth. Pp. 234. Cleveland, Ohio: The Arthur H. Clark Company. $2.50.",na,BR18,1905-01-14T00:00:00Z,434
124,4fc047fa45c1498b0d22001f,1,1905,article,British Mission to Tibet.,na,BR24,1905-01-14T00:00:00Z,110
125,4fc0499e45c1498b0d226ca6,1,1905,article,Review 1 -- No Title,na,BR17,1905-01-14T00:00:00Z,174
126,4fc0532945c1498b0d250e97,1,1905,article,"A Martyr Missionary.; TAMATE, THE LIFE STORY OF JAMES CHALMERS. Told for Young People. By Richard Lovett. With maps and illustrations. Cloth. Decorated cover. Pp. 320. New York: The Fleming H. Revell Co. $1.25.",na,BR21,1905-01-14T00:00:00Z,294
127,4fc054cf45c1498b0d258bd8,1,1905,article,Mr. Brady's New Book.,na,BR29,1905-01-14T00:00:00Z,176
128,4fc0471145c1498b0d21b219,1,1905,article,"""A Pioneer Doctor.""",ANNA C. LEE,BR26,1905-01-14T00:00:00Z,625
129,4fc0499e45c1498b0d226cae,1,1905,article,Books in Demand.,na,BR22,1905-01-14T00:00:00Z,79
